chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfccs,rms,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,spectral_rolloff,poly_features,zero_crossing_rate,harmonic_centroid,harmonic_tonnetz,harmonic_rms,harmonic_spectral_flatness,harmonic_spectral_contrast,harmonic_spectral_rolloff,harmonic_zero_crossing_rate,class
0.3148534,0.44938722,0.26962763,0.8683516,-8.460384,0.050471116,2055.7444239247898,2122.464977730524,18.175618172740023,0.028133204,3970.535411005435,0.5573058706897414,0.09693444293478261,1435.764889594859,-0.005153828283788475,0.019528124,0.002812034,19.81496190812022,3142.599354619565,0.04577813632246377,assistance off
0.33324137,0.41040543,0.2567056,0.84791887,-8.759901,0.05153707,2203.2884889012907,2101.4055690099285,18.54136076076312,0.042438973,4163.392304211128,0.5502008411438529,0.12242163681402439,1441.0557945357477,0.006465257966899159,0.028310101,0.003471975,20.93137693230367,2942.696027057927,0.05154344512195122,assistance off
0.36579457,0.491572,0.27052754,0.8524674,-10.320987,0.04388995,1978.270510787401,2104.966466907474,17.458287384861617,0.03826897,3900.349308894231,0.47507490202940483,0.09613238324175824,1404.3677538064878,-0.0046122383902923786,0.015011929,0.004197886,18.908135359191956,2962.4718299278848,0.05113538804945055,assistance off
0.36668158,0.44930673,0.2633975,0.39283842,-11.028899,0.033162158,2010.9917480256054,2108.957274114004,17.27073912131902,0.034354005,3963.947575266768,0.368663663335018,0.09538752858231707,1257.7706773109396,0.0029873902178633553,0.013581481,0.0025088994,19.202183090403945,2729.5960961318597,0.041402677210365856,assistance off
0.3825417,0.49102172,0.26723424,0.5011419,-10.479601,0.035842683,1670.8641217295292,1918.8990493934486,17.29448340174835,0.025253866,3140.8775592672414,0.39207877245783845,0.07782192887931035,1137.5492617741133,-0.006426985856032384,0.015291232,0.0019248502,18.965096486269555,2195.396686422414,0.039713541666666664,assistance off
0.40972972,0.5802234,0.27740863,0.5719664,-7.5200796,0.03899905,1714.4836534454907,1787.510003121056,16.21476610220527,0.019507594,3397.721000339674,0.46695819187423643,0.08679376132246377,1343.346287182201,-0.00590124600120417,0.024515402,0.002581252,17.467382067444397,2742.6747197690215,0.060900701992753624,assistance off
0.43413386,0.52853984,0.26624385,0.3058933,-8.044478,0.030873869,1750.3269801704798,1856.921432005296,15.666498435495498,0.013623074,3482.7308529713114,0.38413315299463807,0.0832399462090164,1289.2548563895805,0.00026160259140991913,0.020247228,0.0030044173,17.127867776961924,2565.628201844262,0.05584816854508197,assistance off
0.37517527,0.49688718,0.27082595,0.46157366,-10.396274,0.03802753,2040.813432139487,1952.855322558955,16.35000864837885,0.026146479,3917.326554008152,0.4601889623384501,0.11223392210144928,1362.715488230262,0.006831525910602762,0.021304175,0.002718022,18.184547482441968,2709.9068019701085,0.06039119112318841,assistance off
0.42189315,0.5865181,0.2805619,0.3251528,-7.6922364,0.031867396,1759.51253238939,1903.7846758341773,15.988805684424152,0.013987262,3594.994521722561,0.3988663209143648,0.08742020769817073,1332.5495708213723,0.0027560914284901704,0.018363718,0.0029909792,17.213818319589883,2670.6423875762193,0.06275604992378049,assistance off
0.49641463,0.60989106,0.27142224,0.28645602,-7.91525,0.02765745,1551.1028674792904,1764.9330786080081,15.463248004899953,0.013972081,3165.380859375,0.3566945446234372,0.07377554086538461,1259.5133165367308,0.00727847700740248,0.018493801,0.0029038372,16.93976501675319,2493.3792818509614,0.05733924278846154,assistance off
